journal_id,journal
211,American journal of botany
212,"American journal of cardiovascular drugs : drugs, devices, and other interventions"
213,American journal of clinical dermatology
214,American journal of clinical oncology
215,American journal of clinical pathology
216,American journal of community psychology
217,"American journal of critical care : an official publication, American Association of Critical-Care Nurses"
218,American journal of dentistry
219,American journal of epidemiology
220,American journal of health behavior
221,American journal of health promotion : AJHP
222,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists
223,American journal of hematology
224,American journal of human biology : the official journal of the Human Biology Council
225,American journal of human genetics
226,American journal of hypertension
227,American journal of industrial medicine
228,American journal of infection control
229,American journal of kidney diseases : the official journal of the National Kidney Foundation
230,American journal of law & medicine
231,American journal of medical genetics. Part A
232,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics"
233,"American journal of medical genetics. Part C, Seminars in medical genetics"
234,American journal of medical quality : the official journal of the American College of Medical Quality
235,American journal of men's health
236,American journal of nephrology
237,American journal of obstetrics and gynecology
238,American journal of ophthalmology
239,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics"
240,American journal of otolaryngology
241,American journal of perinatology
242,American journal of pharmaceutical education
243,American journal of physical anthropology
244,American journal of physical medicine & rehabilitation
245,American journal of physiology. Cell physiology
246,American journal of physiology. Endocrinology and metabolism
247,American journal of physiology. Gastrointestinal and liver physiology
248,American journal of physiology. Heart and circulatory physiology
249,American journal of physiology. Lung cellular and molecular physiology
250,"American journal of physiology. Regulatory, integrative and comparative physiology"
251,American journal of physiology. Renal physiology
252,American journal of preventive medicine
253,American journal of primatology
254,American journal of psychoanalysis
255,American journal of psychotherapy
256,American journal of public health
257,"American journal of reproductive immunology (New York, N.Y. : 1989)"
258,American journal of respiratory and critical care medicine
259,American journal of respiratory cell and molecular biology
260,American journal of rhinology & allergy
261,American journal of speech-language pathology
262,American journal of surgery
263,American journal of therapeutics
264,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons
265,American journal of veterinary research
266,American journal on intellectual and developmental disabilities
267,Amino acids
268,Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis
269,Amyotrophic lateral sclerosis & frontotemporal degeneration
270,Anaerobe
271,Anaesthesia
272,Anaesthesia and intensive care
273,"Anaesthesia, critical care & pain medicine"
274,Anaesthesiology intensive therapy
275,Anais brasileiros de dermatologia
276,Anais da Academia Brasileira de Ciencias
277,"Anales de pediatria (Barcelona, Spain : 2003)"
278,Anales del sistema sanitario de Navarra
279,Analytica chimica acta
280,Analytical and bioanalytical chemistry
281,Analytical biochemistry
282,Analytical cellular pathology (Amsterdam)
283,Analytical chemistry
284,Analytical methods : advancing methods and applications
285,Analytical sciences : the international journal of the Japan Society for Analytical Chemistry
286,"Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS"
287,Anatolian journal of cardiology
288,"Anatomia, histologia, embryologia"
289,"Anatomical record (Hoboken, N.J. : 2007)"
290,Anatomical science international
291,Anatomical sciences education
292,Andrologia
293,Andrology
294,Anesthesia and analgesia
295,Anesthesiology
296,Anesthesiology clinics
297,Angewandte Chemie (International ed. in English)
298,Angiogenesis
299,Angiology
300,Animal : an international journal of animal bioscience
301,Animal biotechnology
302,Animal cognition
303,Animal genetics
304,Animal health research reviews
305,Animal reproduction science
306,Animal science journal = Nihon chikusan Gakkaiho
307,Annales d'endocrinologie
308,Annales de biologie clinique
309,Annales de cardiologie et d'angeiologie
310,Annales de chirurgie plastique et esthetique
311,Annales de dermatologie et de venereologie
312,Annales de pathologie
313,Annales pharmaceutiques francaises
314,Annali dell'Istituto superiore di sanita
315,Annali di igiene : medicina preventiva e di comunita
316,Annali italiani di chirurgia
317,Annals of African medicine
318,Annals of Saudi medicine
319,Annals of agricultural and environmental medicine : AAEM
320,"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology"
321,Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft
322,Annals of behavioral medicine : a publication of the Society of Behavioral Medicine
323,Annals of biomedical engineering
324,Annals of botany
325,Annals of cardiac anaesthesia
326,Annals of clinical and laboratory science
327,Annals of clinical and translational neurology
328,Annals of clinical biochemistry
329,Annals of clinical microbiology and antimicrobials
330,Annals of clinical psychiatry : official journal of the American Academy of Clinical Psychiatrists
331,Annals of diagnostic pathology
332,Annals of dyslexia
333,Annals of emergency medicine
334,Annals of epidemiology
335,Annals of family medicine
336,Annals of global health
337,Annals of hematology
338,Annals of hepatology
339,Annals of human biology
340,Annals of human genetics
341,Annals of internal medicine
342,Annals of laboratory medicine
343,Annals of medicine
344,Annals of neurology
345,"Annals of noninvasive electrocardiology : the official journal of the International Society for Holter and Noninvasive Electrocardiology, Inc"
346,Annals of nuclear medicine
347,Annals of nutrition & metabolism
348,Annals of oncology : official journal of the European Society for Medical Oncology
349,Annals of palliative medicine
350,Annals of physical and rehabilitation medicine
351,Annals of plastic surgery
352,Annals of science
353,Annals of surgery
354,Annals of surgical oncology
355,"Annals of the Academy of Medicine, Singapore"
356,Annals of the American Thoracic Society
357,Annals of the New York Academy of Sciences
358,Annals of the Royal College of Surgeons of England
359,Annals of the rheumatic diseases
360,Annals of thoracic and cardiovascular surgery : official journal of the Association of Thoracic and Cardiovascular Surgeons of Asia
361,Annals of transplantation
362,Annals of vascular surgery
363,Annals of work exposures and health
364,"Annual review of analytical chemistry (Palo Alto, Calif.)"
365,Annual review of animal biosciences
366,Annual review of biochemistry
367,Annual review of biomedical engineering
368,Annual review of biophysics
369,Annual review of cell and developmental biology
370,Annual review of chemical and biomolecular engineering
371,Annual review of clinical psychology
372,Annual review of entomology
373,Annual review of food science and technology
374,Annual review of genetics
375,Annual review of genomics and human genetics
376,Annual review of immunology
377,Annual review of marine science
378,Annual review of medicine
379,Annual review of microbiology
380,Annual review of neuroscience
381,Annual review of nursing research
382,Annual review of nutrition
383,Annual review of pathology
384,Annual review of pharmacology and toxicology
385,Annual review of physical chemistry
386,Annual review of physiology
387,Annual review of phytopathology
388,Annual review of plant biology
389,Annual review of psychology
390,Annual review of public health
391,Annual review of virology
392,Annual review of vision science
393,Anthropologischer Anzeiger; Bericht uber die biologisch-anthropologische Literatur
394,Anthropology & medicine
395,Anti-cancer agents in medicinal chemistry
396,Anti-cancer drugs
397,Anticancer research
398,Antimicrobial agents and chemotherapy
399,Antimicrobial resistance and infection control
400,Antioxidants & redox signaling
401,Antiviral chemistry & chemotherapy
402,Antiviral research
403,Antiviral therapy
404,Antonie van Leeuwenhoek
405,"Anxiety, stress, and coping"
406,Apoptosis : an international journal on programmed cell death
407,Appetite
408,Applied and environmental microbiology
409,Applied biochemistry and biotechnology
410,Applied clinical informatics
411,Applied ergonomics
412,Applied health economics and health policy
413,Applied immunohistochemistry & molecular morphology : AIMM
414,Applied microbiology and biotechnology
415,Applied neuropsychology. Adult
416,Applied neuropsychology. Child
417,Applied nursing research : ANR
418,Applied optics
419,"Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme"
420,Applied psychology. Health and well-being
421,Applied psychophysiology and biofeedback
422,"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine"
423,Applied spectroscopy
424,"Aquatic toxicology (Amsterdam, Netherlands)"
425,Arab journal of gastroenterology : the official publication of the Pan-Arab Association of Gastroenterology
426,Arab journal of nephrology and transplantation
427,"Archaea (Vancouver, B.C.)"
428,Archiv der Pharmazie
429,Archives de pediatrie : organe officiel de la Societe francaise de pediatrie
430,Archives italiennes de biologie
431,Archives of Iranian medicine
432,Archives of animal nutrition
433,Archives of biochemistry and biophysics
434,Archives of cardiovascular diseases
435,Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists
436,Archives of dermatological research
437,Archives of disease in childhood
438,Archives of disease in childhood. Education and practice edition
439,Archives of disease in childhood. Fetal and neonatal edition
440,Archives of endocrinology and metabolism
441,Archives of environmental & occupational health
442,Archives of environmental contamination and toxicology
443,Archives of gerontology and geriatrics
444,Archives of gynecology and obstetrics
445,Archives of insect biochemistry and physiology
446,Archives of medical research
447,Archives of microbiology
448,Archives of oral biology
449,Archives of orthopaedic and trauma surgery
450,Archives of osteoporosis
451,Archives of pathology & laboratory medicine
452,Archives of pharmacal research
453,Archives of physical medicine and rehabilitation
454,Archives of physiology and biochemistry
455,Archives of psychiatric nursing
456,Archives of sexual behavior
457,Archives of suicide research : official journal of the International Academy for Suicide Research
458,Archives of toxicology
459,Archives of virology
460,Archives of women's mental health
461,"Archivio italiano di urologia, andrologia : organo ufficiale [di] Societa italiana di ecografia urologica e nefrologica"
462,Archivos argentinos de pediatria
463,Archivos de bronconeumologia
464,Archivos de cardiologia de Mexico
465,Archivos espanoles de urologia
466,Archivum immunologiae et therapiae experimentalis
467,Arhiv za higijenu rada i toksikologiju
468,Arkhiv patologii
469,Arquivos brasileiros de cardiologia
470,Arquivos brasileiros de cirurgia digestiva : ABCD = Brazilian archives of digestive surgery
471,Arquivos brasileiros de oftalmologia
472,Arquivos de neuro-psiquiatria
473,"Arteriosclerosis, thrombosis, and vascular biology"
474,"Arthritis & rheumatology (Hoboken, N.J.)"
475,Arthritis care & research
476,Arthritis research & therapy
477,Arthropod structure & development
478,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association
479,"Artificial cells, nanomedicine, and biotechnology"
480,Artificial intelligence in medicine
481,Artificial life
482,Artificial organs
483,Arts & health
484,Asia Pacific journal of clinical nutrition
485,Asia-Pacific journal of clinical oncology
486,"Asia-Pacific journal of ophthalmology (Philadelphia, Pa.)"
487,Asia-Pacific journal of public health
488,Asia-Pacific psychiatry : official journal of the Pacific Rim College of Psychiatrists
489,Asian Pacific journal of allergy and immunology
490,Asian Pacific journal of cancer prevention : APJCP
491,Asian journal of andrology
492,Asian journal of endoscopic surgery
493,Asian journal of psychiatry
494,Asian journal of surgery
495,Asian nursing research
496,Assay and drug development technologies
497,Assessment
498,Assistenza infermieristica e ricerca : AIR
499,Assistive technology : the official journal of RESNA
500,Astrobiology
501,Atencion primaria
502,Atherosclerosis
503,Atherosclerosis. Supplements
504,Attachment & human development
505,"Attention, perception & psychophysics"
506,Audiology & neuro-otology
507,"Augmentative and alternative communication (Baltimore, Md. : 1985)"
508,"Auris, nasus, larynx"
509,Australasian emergency care
510,Australasian emergency care (Online)
511,Australasian journal on ageing
512,Australasian psychiatry : bulletin of Royal Australian and New Zealand College of Psychiatrists
513,Australian and New Zealand journal of public health
514,Australian critical care : official journal of the Confederation of Australian Critical Care Nurses
515,Australian dental journal
516,Australian endodontic journal : the journal of the Australian Society of Endodontology Inc
517,Australian health review : a publication of the Australian Hospital Association
518,Australian journal of general practice
519,Australian journal of primary health
520,Australian occupational therapy journal
521,Australian veterinary journal
522,Autism : the international journal of research and practice
523,Autism research : official journal of the International Society for Autism Research
524,Autoimmunity
525,Autoimmunity reviews
526,Autonomic neuroscience : basic & clinical
527,Autophagy
528,Avian diseases
529,Avian pathology : journal of the W.V.P.A
530,BJOG : an international journal of obstetrics and gynaecology
531,BJS open
532,BJU international
533,BMB reports
534,BMC anesthesiology
535,BMC bioinformatics
536,BMC biology
537,BMC biotechnology
538,BMC cancer
539,BMC cardiovascular disorders
540,BMC dermatology
541,BMC developmental biology
542,BMC ecology
543,BMC emergency medicine
544,BMC endocrine disorders
545,BMC evolutionary biology
546,BMC family practice
547,BMC gastroenterology
548,BMC genetics
549,BMC genomics
550,BMC geriatrics
551,BMC health services research
552,BMC immunology
553,BMC infectious diseases
554,BMC international health and human rights
555,BMC medical education
556,BMC medical ethics
557,BMC medical genetics
558,BMC medical genomics
559,BMC medical imaging
560,BMC medical informatics and decision making
561,BMC medical research methodology
562,BMC medicine
563,BMC microbiology
564,BMC molecular and cell biology
565,BMC musculoskeletal disorders
566,BMC nephrology
567,BMC neurology
568,BMC neuroscience
569,BMC ophthalmology
570,BMC oral health
571,BMC palliative care
572,BMC pediatrics
573,BMC pharmacology & toxicology
574,BMC plant biology
575,BMC pregnancy and childbirth
576,BMC psychiatry
577,BMC public health
578,BMC pulmonary medicine
579,BMC surgery
580,BMC urology
581,BMC veterinary research
582,BMC women's health
583,BMJ (Clinical research ed.)
584,BMJ case reports
585,BMJ global health
586,BMJ open
587,BMJ open diabetes research & care
588,BMJ open gastroenterology
589,BMJ open respiratory research
590,BMJ quality & safety
591,BMJ sexual & reproductive health
592,BMJ supportive & palliative care
593,Balkan medical journal
594,Basic & clinical pharmacology & toxicology
595,Basic research in cardiology
596,Behavior genetics
597,Behavior modification
598,Behavior research methods
599,Behavior therapy
600,Behavioral and brain functions : BBF
601,"Behavioral medicine (Washington, D.C.)"
602,Behavioral neuroscience
603,Behavioral sciences & the law
604,Behavioral sleep medicine
605,Behaviour research and therapy
606,Behavioural and cognitive psychotherapy
607,Behavioural brain research
608,Behavioural neurology
609,Behavioural pharmacology
610,Behavioural processes
611,Beneficial microbes
612,Berichte zur Wissenschaftsgeschichte
613,Best practice & research. Clinical anaesthesiology
614,Best practice & research. Clinical endocrinology & metabolism
615,Best practice & research. Clinical gastroenterology
616,Best practice & research. Clinical haematology
617,Best practice & research. Clinical obstetrics & gynaecology
618,Best practice & research. Clinical rheumatology
619,Big data
620,Bio Systems
621,Bio-medical materials and engineering
622,"BioDrugs : clinical immunotherapeutics, biopharmaceuticals and gene therapy"
623,"BioEssays : news and reviews in molecular, cellular and developmental biology"
624,"BioFactors (Oxford, England)"
625,BioMed research international
626,BioTechniques
627,Bioanalysis
628,Biochemia medica
629,Biochemical Society transactions
630,Biochemical and biophysical research communications
631,Biochemical genetics
632,Biochemical pharmacology
633,Biochemistry
634,Biochemistry and cell biology = Biochimie et biologie cellulaire
635,Biochemistry and molecular biology education : a bimonthly publication of the International Union of Biochemistry and Molecular Biology
636,Biochemistry. Biokhimiia
637,Biochimica et biophysica acta. Bioenergetics
638,Biochimica et biophysica acta. Biomembranes
639,Biochimica et biophysica acta. Gene regulatory mechanisms
640,Biochimica et biophysica acta. General subjects
641,Biochimica et biophysica acta. Molecular and cell biology of lipids
642,Biochimica et biophysica acta. Molecular basis of disease
643,Biochimica et biophysica acta. Molecular cell research
644,Biochimica et biophysica acta. Proteins and proteomics
645,Biochimica et biophysica acta. Reviews on cancer
646,Biochimie
647,Bioconjugate chemistry
648,Biocontrol science
649,Biodegradation
650,Biodemography and social biology
651,"Bioelectrochemistry (Amsterdam, Netherlands)"
652,Bioelectromagnetics
653,Bioengineered
654,Bioethics
655,Biofabrication
656,Biofouling
657,Biogerontology
658,"Bioinformatics (Oxford, England)"
659,Bioinspiration & biomimetics
660,Biointerphases
661,Biological & pharmaceutical bulletin
662,Biological chemistry
663,Biological cybernetics
664,Biological psychiatry
665,Biological psychiatry. Cognitive neuroscience and neuroimaging
666,Biological psychology
667,Biological research
668,Biological research for nursing
669,Biological reviews of the Cambridge Philosophical Society
670,Biological trace element research
671,Biologicals : journal of the International Association of Biological Standardization
672,Biology direct
673,Biology letters
674,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation
675,Biology of reproduction
676,Biology of sex differences
677,Biology of the cell
678,Biology open
679,Biomacromolecules
680,"Biomarkers : biochemical indicators of exposure, response, and susceptibility to chemicals"
681,Biomarkers in medicine
682,Biomaterials
683,Biomaterials science
684,Biomechanics and modeling in mechanobiology
685,Biomedica : revista del Instituto Nacional de Salud
686,Biomedical and environmental sciences : BES
687,Biomedical chromatography : BMC
688,Biomedical engineering online
689,Biomedical instrumentation & technology
690,Biomedical journal
691,"Biomedical materials (Bristol, England)"
692,Biomedical microdevices
693,"Biomedical papers of the Medical Faculty of the University Palacky, Olomouc, Czechoslovakia"
694,"Biomedical research (Tokyo, Japan)"
695,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie
696,Biomedizinische Technik. Biomedical engineering
697,"Biometals : an international journal on the role of metal ions in biology, biochemistry, and medicine"
698,Biometrical journal. Biometrische Zeitschrift
699,Biometrics
700,Biomolecular NMR assignments
701,Biomolecules
702,Bioorganic & medicinal chemistry
703,Bioorganic & medicinal chemistry letters
704,Bioorganic chemistry
705,Biopharmaceutics & drug disposition
706,Biophysical chemistry
707,Biophysical journal
708,Biopolymers
709,Biopreservation and biobanking
710,Bioprocess and biosystems engineering
711,Bioresource technology
712,Biorheology
713,Bioscience reports
714,Bioscience trends
715,"Bioscience, biotechnology, and biochemistry"
716,Biosensors
717,Biosensors & bioelectronics
718,"Biostatistics (Oxford, England)"
719,Biotechnic & histochemistry : official publication of the Biological Stain Commission
720,Biotechnology & genetic engineering reviews
721,Biotechnology advances
722,Biotechnology and applied biochemistry
723,Biotechnology and bioengineering
724,Biotechnology journal
725,Biotechnology letters
726,Biotechnology progress
727,Bipolar disorders
728,"Birth (Berkeley, Calif.)"
729,Birth defects research
730,Blood
731,Blood advances
732,Blood cancer journal
733,"Blood cells, molecules & diseases"
734,Blood coagulation & fibrinolysis : an international journal in haemostasis and thrombosis
735,Blood pressure
736,Blood pressure monitoring
737,Blood purification
738,Blood reviews
739,Blood transfusion = Trasfusione del sangue
740,Body image
741,Boletin medico del Hospital Infantil de Mexico
742,Bone
743,Bone marrow transplantation
744,Bosnian journal of basic medical sciences
745,Brachytherapy
746,Brain & development
747,Brain : a journal of neurology
748,Brain and behavior
749,Brain and cognition
750,Brain and language
751,Brain connectivity
752,Brain imaging and behavior
753,Brain injury
754,"Brain pathology (Zurich, Switzerland)"
755,Brain research
756,Brain research bulletin
757,Brain stimulation
758,Brain structure & function
759,Brain topography
760,Brain tumor pathology
761,"Brain, behavior and evolution"
762,"Brain, behavior, and immunity"
763,Bratislavske lekarske listy
764,Brazilian journal of biology = Revista brasleira de biologia
765,Brazilian journal of cardiovascular surgery
766,Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas
767,Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology]
768,Brazilian journal of otorhinolaryngology
769,Brazilian journal of physical therapy
770,Brazilian oral research
771,"Breast (Edinburgh, Scotland)"
772,"Breast cancer (Tokyo, Japan)"
773,Breast cancer research : BCR
774,Breast cancer research and treatment
775,Breastfeeding medicine : the official journal of the Academy of Breastfeeding Medicine
776,Briefings in bioinformatics
777,Briefings in functional genomics
778,British dental journal
779,British journal for the history of science
780,British journal of anaesthesia
781,British journal of biomedical science
782,British journal of cancer
783,British journal of clinical pharmacology
784,British journal of haematology
785,British journal of health psychology
786,"British journal of hospital medicine (London, England : 2005)"
787,British journal of neurosurgery
788,British journal of nursing (Mark Allen Publishing)
789,British journal of pharmacology
790,"British journal of psychology (London, England : 1953)"
791,British journal of sports medicine
792,British medical bulletin
793,British poultry science
794,Bulletin de la Societe de pathologie exotique (1990)
795,Bulletin du cancer
796,Bulletin of entomological research
797,Bulletin of environmental contamination and toxicology
798,Bulletin of experimental biology and medicine
799,Bulletin of mathematical biology
800,Bulletin of the Hospital for Joint Disease (2013)
801,Bulletin of the Menninger Clinic
802,Bulletin of the World Health Organization
803,Bulletin of the history of medicine
804,"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz"
805,Burns : journal of the International Society for Burn Injuries
806,CA: a cancer journal for clinicians
807,CBE life sciences education
808,CEN case reports
809,CJEM
810,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne
811,CNS & neurological disorders drug targets
812,CNS drugs
813,CNS neuroscience & therapeutics
814,CNS spectrums
815,COPD
816,CPT: pharmacometrics & systems pharmacology
817,Cadernos de saude publica
818,Calcified tissue international
819,Cambridge quarterly of healthcare ethics : CQ : the international journal of healthcare ethics committees
820,Canadian Association of Radiologists journal = Journal l'Association canadienne des radiologistes
821,Canadian bulletin of medical history = Bulletin canadien d'histoire de la medecine
822,Canadian family physician Medecin de famille canadien
823,Canadian journal of anaesthesia = Journal canadien d'anesthesie
824,Canadian journal of diabetes
825,Canadian journal of dietetic practice and research : a publication of Dietitians of Canada = Revue canadienne de la pratique et de la recherche en dietetique : une publication des Dietetistes du Canada
826,Canadian journal of experimental psychology = Revue canadienne de psychologie experimentale
827,Canadian journal of gastroenterology & hepatology
828,Canadian journal of microbiology
829,Canadian journal of occupational therapy. Revue canadienne d'ergotherapie
830,Canadian journal of ophthalmology. Journal canadien d'ophtalmologie
831,Canadian journal of physiology and pharmacology
832,Canadian journal of psychiatry. Revue canadienne de psychiatrie
833,Canadian journal of public health = Revue canadienne de sante publique
834,Canadian journal of rural medicine : the official journal of the Society of Rural Physicians of Canada = Journal canadien de la medecine rurale : le journal officiel de la Societe de medecine rurale du Canada
835,Canadian journal of surgery. Journal canadien de chirurgie
836,Canadian journal of veterinary research = Revue canadienne de recherche veterinaire
837,Canadian journal on aging = La revue canadienne du vieillissement
